code,wind_code,name,date,time,volume,turover,settle,position,cur_delta,trade_flag,accvolume,accturover,high,low,open,price,pre_close,pre_settle,pre_position,ask5,ask4,ask3,ask2,ask1,bid1,bid2,bid3,bid4,bid5,asize5,asize4,asize3,asize2,asize1,bsize1,bsize2,bsize3,bsize4,bsize5
ag,AG.SHF,沪银活跃-ag1612,20170103,135348000,4,245460,0,706988,0,0,167914,10301085570,41070000,40700000,40760000,40910000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,101,142,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135348500,2,122730,0,706988,0,0,167916,10301208300,41070000,40700000,40760000,40910000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,100,142,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135349500,2,122730,0,706990,0,0,167918,10301331030,41070000,40700000,40760000,40910000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,99,141,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135350000,2,122730,0,706992,0,0,167920,10301453760,41070000,40700000,40760000,40910000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,98,141,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135350500,2,122730,0,706992,0,0,167922,10301576490,41070000,40700000,40760000,40910000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,122,141,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135351000,2,122730,0,706994,0,0,167924,10301699220,41070000,40700000,40760000,40910000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,121,141,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135352000,0,0,0,706994,0,0,167924,10301699220,41070000,40700000,40760000,40910000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,123,141,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135353000,2,122730,0,706996,0,0,167926,10301821950,41070000,40700000,40760000,40910000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,122,141,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135353500,2,122730,0,706998,0,0,167928,10301944680,41070000,40700000,40760000,40910000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,122,141,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135354000,0,0,0,706998,0,0,167928,10301944680,41070000,40700000,40760000,40910000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,122,145,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135354500,0,0,0,706998,0,0,167928,10301944680,41070000,40700000,40760000,40910000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,122,146,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135358000,2,122730,0,706998,0,0,167930,10302067410,41070000,40700000,40760000,40910000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,121,146,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135359000,32,1963200,0,706974,0,0,167962,10304030610,41070000,40700000,40760000,40900000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,122,130,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135403500,2,122730,0,706976,0,0,167964,10304153340,41070000,40700000,40760000,40910000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,121,130,0,0,0,0
